id	pattern	n_hops	instantiated_bindings_raw	instantiated_bindings_unique
0	(e1, 6, e2, t1) & (e2, 71, e3, t2=t1+(1, 1)) -> (e3, 12, e3, t3=t2+(1, 1))	2	0	0
1	(e1, 44, e2, t1) & (e1, 44, e3, t2=t1+(1, 2)) -> (e2, 34, e3, t3=t2+(1, 1))	2	0	0
2	(e1, 18, e1, t1) & (e2, 41, e2, t2=t1+(1, 2)) -> (e2, 18, e1, t3=t2+(1, 1))	2	0	0
3	(e1, 13, e2, t1) & (e3, 12, e2, t2=t1+(1, 3)) -> (e3, 26, e3, t3=t2+(1, 3))	2	0	0
4	(e1, 25, e2, t1) & (e2, 19, e3, t2=t1+(1, 3)) -> (e2, 19, e2, t3=t2+(1, 1))	2	0	0
5	(e1, 31, e1, t1) & (e1, 31, e2, t2=t1+(1, 3)) -> (e1, 54, e2, t3=t2+(1, 2))	2	0	0
6	(e1, 2, e2, t1) & (e3, 13, e4, t2=t1+(1, 2)) -> (e3, 23, e2, t3=t2+(1, 1))	2	0	0
7	(e1, 51, e2, t1) & (e1, 21, e3, t2=t1+(1, 2)) -> (e1, 21, e2, t3=t2+(1, 2))	2	0	0
8	(e1, 58, e2, t1) & (e1, 58, e3, t2=t1+(1, 2)) -> (e2, 58, e2, t3=t2+(1, 2))	2	0	0
9	(e1, 44, e2, t1) & (e2, 26, e2, t2=t1+(1, 1)) -> (e2, 44, e1, t3=t2+(1, 1))	2	0	0
10	(e1, 75, e2, t1) & (e3, 75, e4, t2=t1+(1, 1)) -> (e1, 75, e4, t3=t2+(1, 3))	2	0	0
11	(e1, 25, e2, t1) & (e2, 54, e3, t2=t1+(1, 2)) -> (e1, 54, e3, t3=t2+(1, 1))	2	0	0
12	(e1, 49, e2, t1) & (e2, 49, e3, t2=t1+(1, 2)) -> (e2, 19, e3, t3=t2+(1, 2))	2	0	0
13	(e1, 2, e2, t1) & (e3, 2, e2, t2=t1+(1, 2)) -> (e1, 70, e2, t3=t2+(1, 3))	2	0	0
14	(e1, 0, e2, t1) & (e2, 18, e2, t2=t1+(1, 1)) -> (e1, 57, e1, t3=t2+(1, 2))	2	0	0
15	(e1, 10, e2, t1) & (e1, 25, e3, t2=t1+(1, 3)) -> (e2, 10, e2, t3=t2+(1, 1))	2	0	0
16	(e1, 2, e2, t1) & (e3, 58, e4, t2=t1+(1, 3)) -> (e3, 2, e2, t3=t2+(1, 1))	2	0	0
17	(e1, 60, e2, t1) & (e2, 54, e3, t2=t1+(1, 1)) -> (e1, 54, e2, t3=t2+(1, 3))	2	0	0
18	(e1, 12, e2, t1) & (e1, 2, e3, t2=t1+(1, 3)) -> (e2, 20, e1, t3=t2+(1, 2))	2	0	0
19	(e1, 33, e1, t1) & (e1, 50, e2, t2=t1+(1, 1)) -> (e1, 60, e1, t3=t2+(1, 3))	2	0	0
20	(e1, 67, e2, t1) & (e2, 34, e3, t2=t1+(1, 3)) -> (e1, 34, e1, t3=t2+(1, 1))	2	0	0
21	(e1, 13, e2, t1) & (e3, 67, e2, t2=t1+(1, 3)) -> (e2, 13, e1, t3=t2+(1, 3))	2	0	0
22	(e1, 41, e2, t1) & (e1, 14, e3, t2=t1+(1, 1)) -> (e3, 41, e1, t3=t2+(1, 1))	2	0	0
23	(e1, 24, e2, t1) & (e1, 24, e3, t2=t1+(1, 3)) -> (e1, 16, e1, t3=t2+(1, 3))	2	0	0
24	(e1, 38, e2, t1) & (e3, 38, e1, t2=t1+(1, 1)) -> (e2, 38, e1, t3=t2+(1, 3))	2	0	0
25	(e1, 13, e2, t1) & (e1, 41, e3, t2=t1+(1, 2)) -> (e2, 13, e2, t3=t2+(1, 3))	2	0	0
26	(e1, 29, e2, t1) & (e2, 26, e1, t2=t1+(1, 1)) -> (e2, 12, e1, t3=t2+(1, 1))	2	0	0
27	(e1, 46, e2, t1) & (e1, 34, e3, t2=t1+(1, 3)) -> (e3, 35, e1, t3=t2+(1, 2))	2	0	0
