id	pattern	n_hops	instantiated_bindings_raw	instantiated_bindings_unique
0	(e1, 35, e2, t1) & (e1, 225, e3, t2=t1+(0, 5)) & (e4, 50, e3, t3=t2+(0, 6)) -> (e1, 50, e3, t4=t3+(1, 4))	3	0	0
1	(e1, 112, e2, t1) & (e1, 112, e3, t2=t1+(0, 2)) & (e1, 112, e2, t3=t2+(0, 3)) -> (e3, 112, e1, t4=t3+(1, 5))	3	0	0
2	(e1, 104, e2, t1) & (e2, 180, e1, t2=t1+(0, 6)) & (e1, 1, e2, t3=t2+(0, 5)) -> (e2, 104, e1, t4=t3+(1, 4))	3	0	0
3	(e1, 166, e2, t1) & (e1, 218, e3, t2=t1+(0, 9)) & (e4, 218, e1, t3=t2+(0, 2)) -> (e2, 166, e4, t4=t3+(1, 4))	3	0	0
4	(e1, 55, e2, t1) & (e3, 88, e2, t2=t1+(0, 7)) & (e1, 55, e2, t3=t2+(0, 7)) -> (e2, 88, e3, t4=t3+(1, 3))	3	0	0
5	(e1, 104, e2, t1) & (e1, 42, e3, t2=t1+(0, 6)) & (e2, 42, e1, t3=t2+(0, 9)) -> (e1, 104, e3, t4=t3+(1, 7))	3	0	0
6	(e1, 10, e2, t1) & (e2, 10, e3, t2=t1+(0, 3)) & (e3, 39, e4, t3=t2+(0, 8)) -> (e3, 10, e2, t4=t3+(1, 7))	3	0	0
7	(e1, 138, e2, t1) & (e1, 125, e3, t2=t1+(0, 3)) & (e4, 138, e1, t3=t2+(0, 2)) -> (e2, 125, e1, t4=t3+(1, 3))	3	0	0
8	(e1, 166, e2, t1) & (e3, 166, e2, t2=t1+(0, 5)) & (e1, 166, e2, t3=t2+(0, 6)) -> (e2, 166, e3, t4=t3+(1, 3))	3	0	0
9	(e1, 219, e2, t1) & (e2, 153, e3, t2=t1+(0, 2)) & (e2, 219, e1, t3=t2+(0, 6)) -> (e1, 153, e3, t4=t3+(1, 5))	3	0	0
10	(e1, 182, e2, t1) & (e1, 182, e2, t2=t1+(1, 4)) & (e3, 182, e1, t3=t2+(0, 9)) -> (e3, 182, e2, t4=t3+(1, 7))	3	0	0
11	(e1, 167, e2, t1) & (e1, 2, e3, t2=t1+(0, 3)) & (e3, 107, e4, t3=t2+(0, 4)) -> (e2, 2, e4, t4=t3+(1, 7))	3	0	0
12	(e1, 113, e2, t1) & (e2, 33, e3, t2=t1+(0, 5)) & (e4, 34, e2, t3=t2+(0, 2)) -> (e4, 33, e1, t4=t3+(1, 1))	3	0	0
13	(e1, 133, e2, t1) & (e2, 137, e3, t2=t1+(0, 6)) & (e3, 2, e1, t3=t2+(0, 8)) -> (e2, 137, e1, t4=t3+(1, 6))	3	0	0
14	(e1, 9, e2, t1) & (e3, 9, e2, t2=t1+(0, 4)) & (e1, 155, e2, t3=t2+(0, 7)) -> (e2, 155, e1, t4=t3+(1, 10))	3	0	0
15	(e1, 180, e2, t1) & (e3, 0, e2, t2=t1+(0, 7)) & (e2, 0, e1, t3=t2+(0, 5)) -> (e3, 0, e1, t4=t3+(1, 1))	3	0	0
16	(e1, 38, e2, t1) & (e2, 38, e1, t2=t1+(0, 6)) & (e3, 205, e2, t3=t2+(0, 13)) -> (e1, 205, e2, t4=t3+(1, 4))	3	0	0
17	(e1, 113, e2, t1) & (e2, 91, e1, t2=t1+(0, 8)) & (e3, 15, e2, t3=t2+(0, 4)) -> (e2, 91, e3, t4=t3+(1, 5))	3	0	0
18	(e1, 223, e2, t1) & (e3, 223, e1, t2=t1+(0, 6)) & (e1, 223, e4, t3=t2+(0, 6)) -> (e2, 223, e4, t4=t3+(1, 4))	3	0	0
19	(e1, 11, e2, t1) & (e1, 33, e3, t2=t1+(0, 3)) & (e4, 33, e3, t3=t2+(0, 6)) -> (e1, 11, e4, t4=t3+(1, 7))	3	0	0
20	(e1, 95, e2, t1) & (e1, 95, e2, t2=t1+(1, 3)) & (e2, 95, e3, t3=t2+(0, 9)) -> (e1, 95, e3, t4=t3+(1, 6))	3	0	0
21	(e1, 20, e2, t1) & (e2, 49, e3, t2=t1+(0, 5)) & (e4, 134, e3, t3=t2+(0, 5)) -> (e1, 134, e3, t4=t3+(1, 7))	3	0	0
22	(e1, 49, e2, t1) & (e1, 49, e3, t2=t1+(0, 9)) & (e4, 198, e1, t3=t2+(0, 3)) -> (e3, 198, e1, t4=t3+(1, 5))	3	0	0
23	(e1, 153, e2, t1) & (e2, 153, e3, t2=t1+(0, 4)) & (e1, 153, e2, t3=t2+(0, 6)) -> (e1, 153, e3, t4=t3+(1, 8))	3	0	0
24	(e1, 164, e2, t1) & (e3, 134, e2, t2=t1+(0, 6)) & (e3, 134, e4, t3=t2+(0, 7)) -> (e3, 134, e1, t4=t3+(1, 6))	3	0	0
25	(e1, 2, e2, t1) & (e3, 98, e2, t2=t1+(0, 6)) & (e3, 98, e1, t3=t2+(0, 13)) -> (e2, 98, e1, t4=t3+(1, 6))	3	0	0
26	(e1, 135, e2, t1) & (e3, 135, e2, t2=t1+(0, 11)) & (e4, 75, e2, t3=t2+(0, 5)) -> (e1, 135, e4, t4=t3+(1, 4))	3	0	0
27	(e1, 69, e2, t1) & (e3, 126, e2, t2=t1+(0, 4)) & (e4, 69, e3, t3=t2+(0, 3)) -> (e4, 126, e2, t4=t3+(1, 5))	3	0	0
28	(e1, 130, e2, t1) & (e3, 95, e2, t2=t1+(0, 6)) & (e3, 216, e4, t3=t2+(0, 5)) -> (e4, 95, e1, t4=t3+(1, 4))	3	0	0
29	(e1, 44, e2, t1) & (e3, 153, e2, t2=t1+(0, 8)) & (e3, 44, e1, t3=t2+(0, 6)) -> (e2, 153, e1, t4=t3+(1, 4))	3	0	0
30	(e1, 86, e2, t1) & (e3, 116, e2, t2=t1+(0, 7)) & (e4, 116, e3, t3=t2+(0, 4)) -> (e1, 116, e3, t4=t3+(1, 5))	3	0	0
31	(e1, 121, e2, t1) & (e3, 144, e1, t2=t1+(0, 3)) & (e1, 121, e4, t3=t2+(0, 4)) -> (e4, 144, e2, t4=t3+(1, 6))	3	0	0
32	(e1, 1, e2, t1) & (e3, 50, e1, t2=t1+(0, 10)) & (e1, 1, e2, t3=t2+(0, 4)) -> (e3, 50, e1, t4=t3+(1, 5))	3	0	0
33	(e1, 111, e2, t1) & (e3, 140, e2, t2=t1+(0, 6)) & (e4, 140, e3, t3=t2+(0, 2)) -> (e4, 111, e1, t4=t3+(1, 5))	3	0	0
34	(e1, 182, e2, t1) & (e3, 35, e2, t2=t1+(0, 4)) & (e2, 2, e1, t3=t2+(0, 3)) -> (e2, 2, e3, t4=t3+(1, 4))	3	0	0
35	(e1, 33, e2, t1) & (e2, 162, e1, t2=t1+(0, 7)) & (e1, 1, e2, t3=t2+(0, 1)) -> (e1, 33, e2, t4=t3+(1, 7))	3	0	0
36	(e1, 104, e2, t1) & (e1, 158, e3, t2=t1+(0, 7)) & (e3, 212, e4, t3=t2+(0, 1)) -> (e1, 158, e3, t4=t3+(1, 8))	3	0	0
37	(e1, 5, e2, t1) & (e3, 5, e1, t2=t1+(0, 5)) & (e3, 187, e1, t3=t2+(0, 5)) -> (e3, 187, e1, t4=t3+(1, 6))	3	0	0
38	(e1, 37, e2, t1) & (e2, 37, e3, t2=t1+(0, 4)) & (e4, 37, e2, t3=t2+(0, 6)) -> (e3, 37, e2, t4=t3+(1, 5))	3	0	0
39	(e1, 7, e2, t1) & (e3, 7, e2, t2=t1+(0, 5)) & (e3, 55, e2, t3=t2+(0, 4)) -> (e1, 7, e3, t4=t3+(1, 4))	3	0	0
40	(e1, 139, e2, t1) & (e3, 208, e2, t2=t1+(0, 2)) & (e3, 139, e1, t3=t2+(0, 6)) -> (e1, 139, e2, t4=t3+(1, 9))	3	0	0
41	(e1, 95, e2, t1) & (e3, 76, e2, t2=t1+(0, 4)) & (e4, 43, e2, t3=t2+(0, 3)) -> (e4, 43, e1, t4=t3+(1, 7))	3	0	0
42	(e1, 104, e2, t1) & (e1, 55, e3, t2=t1+(0, 4)) & (e2, 104, e1, t3=t2+(0, 8)) -> (e1, 55, e3, t4=t3+(1, 6))	3	0	0
43	(e1, 75, e2, t1) & (e3, 75, e1, t2=t1+(0, 5)) & (e4, 121, e1, t3=t2+(0, 2)) -> (e1, 75, e2, t4=t3+(1, 5))	3	0	0
44	(e1, 194, e2, t1) & (e1, 55, e2, t2=t1+(0, 7)) & (e2, 131, e3, t3=t2+(0, 9)) -> (e1, 55, e2, t4=t3+(1, 6))	3	0	0
45	(e1, 90, e2, t1) & (e1, 90, e2, t2=t1+(1, 4)) & (e3, 90, e2, t3=t2+(0, 8)) -> (e1, 90, e3, t4=t3+(1, 5))	3	0	0
46	(e1, 77, e2, t1) & (e2, 34, e3, t2=t1+(0, 4)) & (e3, 34, e4, t3=t2+(0, 3)) -> (e1, 34, e4, t4=t3+(1, 6))	3	0	0
47	(e1, 69, e2, t1) & (e1, 90, e2, t2=t1+(0, 3)) & (e2, 105, e1, t3=t2+(0, 7)) -> (e1, 90, e2, t4=t3+(1, 2))	3	0	0
48	(e1, 51, e2, t1) & (e1, 37, e3, t2=t1+(0, 10)) & (e3, 225, e4, t3=t2+(0, 5)) -> (e4, 51, e2, t4=t3+(1, 3))	3	0	0
49	(e1, 88, e2, t1) & (e1, 145, e3, t2=t1+(0, 5)) & (e3, 145, e1, t3=t2+(0, 4)) -> (e1, 88, e2, t4=t3+(1, 5))	3	0	0
50	(e1, 178, e2, t1) & (e2, 51, e3, t2=t1+(0, 6)) & (e2, 99, e4, t3=t2+(0, 4)) -> (e1, 51, e2, t4=t3+(1, 6))	3	0	0
51	(e1, 54, e2, t1) & (e3, 68, e2, t2=t1+(0, 6)) & (e2, 68, e4, t3=t2+(0, 4)) -> (e2, 54, e3, t4=t3+(1, 5))	3	0	0
52	(e1, 68, e2, t1) & (e3, 158, e2, t2=t1+(0, 4)) & (e1, 68, e3, t3=t2+(0, 7)) -> (e3, 158, e1, t4=t3+(1, 3))	3	0	0
53	(e1, 38, e2, t1) & (e1, 88, e3, t2=t1+(0, 8)) & (e2, 38, e1, t3=t2+(0, 4)) -> (e3, 88, e1, t4=t3+(1, 3))	3	0	0
54	(e1, 210, e2, t1) & (e3, 114, e2, t2=t1+(0, 5)) & (e2, 210, e3, t3=t2+(0, 8)) -> (e2, 210, e3, t4=t3+(1, 2))	3	0	0
55	(e1, 218, e2, t1) & (e3, 218, e2, t2=t1+(0, 4)) & (e2, 218, e4, t3=t2+(0, 4)) -> (e1, 218, e4, t4=t3+(1, 5))	3	0	0
56	(e1, 163, e2, t1) & (e2, 104, e3, t2=t1+(0, 5)) & (e1, 163, e2, t3=t2+(0, 0)) -> (e3, 163, e2, t4=t3+(1, 3))	3	0	0
57	(e1, 215, e2, t1) & (e2, 9, e3, t2=t1+(0, 5)) & (e4, 215, e3, t3=t2+(0, 3)) -> (e1, 215, e4, t4=t3+(1, 4))	3	0	0
58	(e1, 189, e2, t1) & (e1, 200, e3, t2=t1+(0, 7)) & (e1, 200, e2, t3=t2+(0, 1)) -> (e1, 189, e2, t4=t3+(1, 4))	3	0	0
59	(e1, 180, e2, t1) & (e2, 1, e3, t2=t1+(0, 8)) & (e4, 180, e3, t3=t2+(0, 3)) -> (e3, 180, e2, t4=t3+(1, 1))	3	0	0
60	(e1, 40, e2, t1) & (e3, 121, e2, t2=t1+(0, 10)) & (e1, 102, e2, t3=t2+(0, 8)) -> (e2, 121, e3, t4=t3+(1, 5))	3	0	0
61	(e1, 229, e2, t1) & (e3, 164, e2, t2=t1+(0, 3)) & (e4, 164, e2, t3=t2+(0, 11)) -> (e1, 229, e2, t4=t3+(1, 6))	3	0	0
62	(e1, 54, e2, t1) & (e1, 54, e3, t2=t1+(0, 6)) & (e1, 94, e4, t3=t2+(0, 8)) -> (e2, 54, e4, t4=t3+(1, 6))	3	0	0
63	(e1, 111, e2, t1) & (e1, 171, e3, t2=t1+(0, 8)) & (e4, 50, e1, t3=t2+(0, 5)) -> (e2, 171, e1, t4=t3+(1, 2))	3	0	0
64	(e1, 36, e2, t1) & (e2, 36, e1, t2=t1+(0, 3)) & (e1, 161, e3, t3=t2+(0, 12)) -> (e2, 161, e1, t4=t3+(1, 4))	3	0	0
65	(e1, 34, e2, t1) & (e2, 34, e3, t2=t1+(0, 3)) & (e2, 195, e3, t3=t2+(0, 2)) -> (e2, 34, e1, t4=t3+(1, 4))	3	0	0
66	(e1, 124, e2, t1) & (e3, 123, e1, t2=t1+(0, 5)) & (e3, 210, e4, t3=t2+(0, 4)) -> (e2, 210, e3, t4=t3+(1, 4))	3	0	0
67	(e1, 44, e2, t1) & (e3, 44, e2, t2=t1+(0, 5)) & (e4, 115, e2, t3=t2+(0, 6)) -> (e4, 44, e1, t4=t3+(1, 6))	3	0	0
