trial	score	n_ents	n_rels	n_tws	n_quads	n_unique_triples	avg_degree	deg_p25	deg_p75	real_n_ents	real_n_rels	real_n_tws	real_n_quads	real_n_unique_triples	real_avg_degree	real_deg_p25	real_deg_p75	relerr_n_ents	absdiff_n_ents	relerr_n_rels	absdiff_n_rels	relerr_n_tws	absdiff_n_tws	relerr_n_quads	absdiff_n_quads	relerr_n_unique_triples	absdiff_n_unique_triples	relerr_avg_degree	absdiff_avg_degree	relerr_deg_p25	absdiff_deg_p25	relerr_deg_p75	absdiff_deg_p75	pat_distr_ents	pat_distr_rels	cfg_n_ents	cfg_n_rels	cfg_n_tws	n_1_hop	n_2_hop	n_3_hop	rnd_avg_density	p_skip_consequence	use_force_distr	p_force	n_force	force_binom_n	force_binom_p
0	4.498055719199618	5895	207	365	12501	12501	4.241221374045802	2.0	6.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.17297979797979798	-1233.0	0.1	-23.0	0.0	0.0	0.862217568610162	-78229.0	0.7514464658514763	-37794.0	0.833398953189692	-21.21612991663882	1.0	1.0	0.4	-4.0	uniform	uniform	7128	230	365	101	17	114	0	0	False	0.05	1	None	None
1	184.8648671049131	7128	177	365	571665	571127	160.39983164983164	148.0	173.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0	0.0	0.23043478260869565	-53.0	0.0	0.0	5.300727433043095	480935.0	10.355542300427478	520832.0	5.300727433043095	134.94248035914703	147.0	147.0	16.3	163.0	uniform	gamma(1,2)	7128	230	365	295	122	44	0	0	False	0.35000000000000003	4	None	None
2	35.84602572179557	7088	182	365	191197	188614	53.949492099322796	25.0	73.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.005611672278338945	-40.0	0.20869565217391303	-48.0	0.0	0.0	1.1073184172820456	100467.0	2.750154090863903	138319.0	1.119210733406662	28.492140808638172	24.0	24.0	6.3	63.0	gamma(2,2)	gamma(3,1)	7128	230	365	211	73	30	0	0	False	0.35000000000000003	2	None	None
3	82.11066978011903	7128	220	365	269266	269261	75.55162738496072	67.0	84.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0	0.0	0.043478260869565216	-10.0	0.0	0.0	1.9677725118483411	178536.0	4.353633561984292	218966.0	1.9677725118483413	50.0942760942761	66.0	66.0	7.4	74.0	uniform	gamma(2,2)	7128	230	365	361	269	164	0	0	False	0.2	2	None	None
4	15.768520774197015	7128	153	365	66762	66761	18.732323232323232	14.0	22.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0	0.0	0.3347826086956522	-77.0	0.0	0.0	0.2641684117711892	-23968.0	0.3273884083904961	16466.0	0.26416841177118927	-6.725028058361392	13.0	13.0	1.2	12.0	uniform	gamma(0.5,1.0)	7128	230	365	253	69	54	0	0	False	0.1	2	None	None
5	122.56336229634681	7128	159	365	531360	531316	149.0909090909091	85.0	196.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0	0.0	0.30869565217391304	-71.0	0.0	0.0	4.85649729968037	440630.0	9.563992444576996	481021.0	4.85649729968037	123.63355780022447	84.0	84.0	18.6	186.0	gamma(3,1)	gamma(0.5,1.0)	7128	230	365	316	34	24	0	0	False	0.9500000000000001	3	None	None
6	251.94880543854853	7128	180	365	774985	754829	217.44809203142538	201.0	233.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0	0.0	0.21739130434782608	-50.0	0.0	0.0	7.541662074286344	684255.0	14.008032607615071	704534.0	7.541662074286345	191.99074074074076	200.0	200.0	22.3	223.0	uniform	empirical	7128	230	365	59	280	118	0	0	False	0.7500000000000001	2	None	None
7	68.25817840906822	7020	213	365	448371	448012	127.74102564102564	36.0	179.25	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.015151515151515152	-108.0	0.07391304347826087	-17.0	0.0	0.0	3.9418163782651825	357641.0	7.907684660503032	397717.0	4.0178443225461855	102.28367435034102	35.0	35.0	16.925	169.25	gamma(1,2)	gamma(2,2)	7128	230	365	254	298	14	0	0	False	0.8500000000000001	1	None	None
8	28.409795787178837	6105	179	365	266556	266493	87.32383292383292	8.0	130.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.14351851851851852	-1023.0	0.2217391304347826	-51.0	0.0	0.0	1.9379036702303538	175826.0	4.298598270205786	216198.0	2.430201041998683	61.8664816331483	7.0	7.0	12.0	120.0	empirical	gamma(1,2)	7128	230	365	25	221	128	0	0	False	0.15000000000000002	4	None	None
9	135.80492319390132	7122	230	365	656422	656359	184.33642235327156	88.0	249.0	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.0008417508417508417	-6.0	0.0	0.0	0.0	0.0	6.234894742643006	565692.0	12.050183914902078	606064.0	6.240989851945992	158.87907106258695	87.0	87.0	23.9	239.0	gamma(2,2)	uniform	7128	230	365	327	105	10	0	0	False	0.7500000000000001	3	None	None
10	178.44668949821371	6768	228	365	1536211	1535051	453.96306146572107	58.0	597.25	7128	230	365	90730	50295	25.457351290684624	1.0	10.0	0.050505050505050504	-360.0	0.008695652173913044	-2.0	0.0	0.0	15.93167640251295	1445481.0	29.520946416144746	1484756.0	16.832297487753003	428.5057101750364	57.0	57.0	58.725	587.25	gamma(0.5,1.0)	uniform	7128	230	365	122	182	189	0	0	False	0.55	5	None	None
